system:index,sum,year,.geo
30_0,7188.740220325348,2020-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
31_0,5240.1737956731,2021-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
32_0,5871.764104897588,2022-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
33_0,5118.442530532303,2023-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
34_0,4321.641914551437,2024-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
35_0,6819.003232148375,2025-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
4_0,3255.5255675372327,1994-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
6_0,1581.5611836640123,1996-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
7_0,3840.546371581135,1997-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
8_0,4553.198782902064,1998-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
9_0,4676.828518114236,1999-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
