id,species,undet,ad_m,ad_f,ad_u,sub_m,sub_f,sub_u,juv_m,juv_f,juv_u,count,distance,angle,odometer,lat,lon,notes
7.1,impala,1,4,8,0,1,0,0,0,0,0,14,90,45,0.06,-19.11727,23.51149,
7.1,impala,0,1,9,0,1,0,0,0,0,0,11,58.5,90,0.48,-19.116264,23.507578,
7.1,impala,0,0,4,0,0,0,0,0,0,0,4,60,90,2.63,-19.101774,23.504422,
7.1,elephant,0,0,4,0,0,0,0,0,1,1,6,40,30,6.29,-19.096704,23.532041,
7.1,kudu,0,1,0,0,0,0,0,0,0,0,1,150,90,6.29,-19.096704,23.532041,
7.1,elephant,0,0,1,10,0,1,2,0,0,1,15,120,90,6.61,-19.099122,23.533457,
7.1,tsb,0,0,0,1,0,0,0,0,0,0,1,65,90,6.61,-19.099122,23.533457,
7.1,zebra,0,0,0,3,0,0,0,0,0,0,3,105,40,7.38,-19.104653,23.537293,
7.1,sable,0,0,0,5,0,0,0,0,0,1,6,126.3,45,7.84,-19.107812,23.539948,
7.1,impala,0,4,20,0,0,0,0,0,0,0,24,282.4,70,8.72,-19.111116,23.544802,
7.1,elephant,0,0,0,1,0,0,0,0,0,0,1,50,20,8.72,-19.111116,23.544802,
7.1,elephant,0,1,0,0,0,0,0,0,0,0,1,73,50,9.34,-19.111075,23.550007,
7.1,giraffe,0,0,2,0,0,0,0,0,0,1,3,70,15,9.34,-19.111075,23.550007,
7.1,zebra,0,0,0,3,0,0,0,0,0,2,5,65,40,9.76,-19.110936,23.553503,
7.1,impala,0,2,0,0,0,0,0,0,0,0,2,10,45,10.35,-19.113781,23.557872,
7.2,impala,0,5,19,0,0,0,0,0,0,0,24,481,35,0.39,-19.120818,23.568897,
7.2,zebra,0,0,0,6,0,0,0,0,0,0,6,243,45,0.73,-19.122166,23.566082,
7.2,giraffe,0,6,0,0,0,0,0,0,0,0,6,66,30,1.65,-19.119134,23.559163,
7.2,roan,0,0,0,1,0,0,0,0,0,0,1,142,90,3.13,-19.114158,23.547819,
7.2,zebra,0,0,0,13,0,0,0,0,0,1,14,142,90,3.13,-19.114158,23.547819,
7.2,impala,0,5,11,0,4,0,0,3,1,0,24,52,0,3.44,-19.115272,23.545255,
7.2,elephant,0,1,0,0,0,0,0,0,0,0,1,322,30,3.63,-19.11486,23.54374,
7.2,elephant,0,0,3,7,0,0,0,2,0,2,14,57,0,3.92,-19.116132,23.541354,
7.2,kudu,0,0,2,0,0,0,0,0,0,0,2,20,0,5.33,-19.1174,23.529747,
7.2,zebra,0,0,0,12,0,0,0,0,0,0,12,186,30,5.88,-19.11849,23.525222,
7.2,impala,0,10,12,0,0,0,0,0,0,0,22,202,15,5.88,-19.11849,23.525222,
7.2,warthog,0,0,0,2,0,0,0,0,0,0,2,190,40,6.51,-19.118811,23.51961,
7.2,vervet,0,0,0,2,0,0,0,0,0,0,2,24,0,7.28,-19.11762,23.513236,coord zeros are excluded by excel
8.1,reedbuck,,,,,2,,,,,,2,416,45,0.5,-19.116274,23.507346,
8.1,lechwe,,1,,,,,,,,,1,415,45,0.5,-19.116274,23.507346,
8.1,impala,,1,12,,,,,,,,13,42,45,4.01,-19.098561,23.513811,
8.1,slender_mon,,,,1,,,,,,,1,66,90,4.01,-19.098561,23.513811,
8.1,impala,,,10,,3,,,,,,13,20,30,4.52,-19.099632,23.51734,
